专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型
010101,010101马克思主义哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010102,010102中国哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010103,010103外国哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010104,010104逻辑学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010105,010105伦理学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010106,010106美学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010107,010107宗教学,哲学,01,0101,01,299,41,62,289,38,57,学硕
010108,010108科学技术哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕
020100,020100理论经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕
020101,020101政治经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕
020102,020102经济思想史,经济学,02,0201,01,348,49,74,338,46,69,学硕
020103,020103经济史,经济学,02,0201,01,348,49,74,338,46,69,学硕
020104,020104西方经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕
020105,020105世界经济,经济学,02,0201,01,348,49,74,338,46,69,学硕
020106,020106人口、资源与环境经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕
020200,020200应用经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020201,020201国民经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020202,020202区域经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020203,020203财政学(含∶税收学),经济学,02,0202,02,348,49,74,338,46,69,学硕
020204,020204金融学(含∶保险学),经济学,02,0202,02,348,49,74,338,46,69,学硕
020205,020205产业经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020206,020206国际贸易学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020207,020207劳动经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020208,020208统计学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020209,020209数量经济学,经济学,02,0202,02,348,49,74,338,46,69,学硕
020210,020210国防经济,经济学,02,0202,02,348,49,74,338,46,69,学硕
030100,030100法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030101,030101法学理论,法学,03,0301,01,321,44,66,311,41,62,学硕
030102,030102法律史,法学,03,0301,01,321,44,66,311,41,62,学硕
030103,030103宪法学与行政法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030104,030104刑法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030105,030105民商法学(含：劳动法学、社会保障法学),法学,03,0301,01,321,44,66,311,41,62,学硕
030106,030106诉讼法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030107,030107经济法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030108,030108环境与资源保护法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030109,030109国际法学(含：国际公法、国际私法、国际经济法),法学,03,0301,01,321,44,66,311,41,62,学硕
030110,030110军事法学,法学,03,0301,01,321,44,66,311,41,62,学硕
030200,030200政治学,法学,03,0302,02,321,44,66,311,41,62,学硕
030201,030201政治学理论,法学,03,0302,02,321,44,66,311,41,62,学硕
030202,030202中外政治制度,法学,03,0302,02,321,44,66,311,41,62,学硕
030203,030203科学社会主义与国际共产主义运动,法学,03,0302,02,321,44,66,311,41,62,学硕
030204,030204中共党史(含：党的学说与党的建设),法学,03,0302,02,321,44,66,311,41,62,学硕
030206,030206国际政治,法学,03,0302,02,321,44,66,311,41,62,学硕
030207,030207国际关系,法学,03,0302,02,321,44,66,311,41,62,学硕
030208,030208外交学,法学,03,0302,02,321,44,66,311,41,62,学硕
030300,030300社会学,法学,03,0303,03,321,44,66,311,41,62,学硕
030301,030301社会学,法学,03,0303,03,321,44,66,311,41,62,学硕
030302,030302人口学,法学,03,0303,03,321,44,66,311,41,62,学硕
030303,030303人类学,法学,03,0303,03,321,44,66,311,41,62,学硕
030304,030304民俗学(含：中国民间文学),法学,03,0303,03,321,44,66,311,41,62,学硕
030400,030400民族学,法学,03,0304,04,321,44,66,311,41,62,学硕
030401,030401民族学,法学,03,0304,04,321,44,66,311,41,62,学硕
030402,030402马克思主义民族理论与政策,法学,03,0304,04,321,44,66,311,41,62,学硕
030403,030403中国少数民族经济,法学,03,0304,04,321,44,66,311,41,62,学硕
030404,030404中国少数民族史,法学,03,0304,04,321,44,66,311,41,62,学硕
030405,030405中国少数民族艺术,法学,03,0304,04,321,44,66,311,41,62,学硕
030500,030500马克思主义理论,法学,03,0305,05,321,44,66,311,41,62,学硕
030501,030501马克思主义基本原理,法学,03,0305,05,321,44,66,311,41,62,学硕
030502,030502马克思主义发展史,法学,03,0305,05,321,44,66,311,41,62,学硕
030503,030503马克思主义中国化研究,法学,03,0305,05,321,44,66,311,41,62,学硕
030504,030504国外马克思主义研究,法学,03,0305,05,321,44,66,311,41,62,学硕
030505,030505思想政治教育,法学,03,0305,05,321,44,66,311,41,62,学硕
030506,030506中国近现代史基本问题研究,法学,03,0305,05,321,44,66,311,41,62,学硕
030600,030600公安学,法学,03,0306,06,321,44,66,311,41,62,学硕
030601,030601公安学基础理论,法学,03,0306,06,321,44,66,311,41,62,学硕
030602,030602公安管理学,法学,03,0306,06,321,44,66,311,41,62,学硕
