专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型,A全日制调剂,A全日制一志愿,B全日制调剂,B全日制一志愿,A非全日制调剂,A非全日制一志愿,B非全日制调剂,B非全日制一志愿
010101,010101马克思主义哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 352.08 , 366.64 , 359.05 , 337.42 ,,,,
010102,010102中国哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 356.23 , 361.04 , 348.82 , 331.20 ,,,,
010103,010103外国哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 361.63 , 362.37 , 328.64 , 352.50 ,,,,
010104,010104逻辑学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 353.93 , 376.04 ,,,,,,
010105,010105伦理学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 343.35 , 364.38 , 338.95 , 324.50 ,,,,
010106,010106美学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 353.71 , 359.29 , 341.80 , 337.25 ,,,,
010107,010107宗教学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 347.40 , 357.71 , 334.53 , 328.60 ,, 347.00 ,,
010108,010108科学技术哲学,哲学,01,0101,01,299,41,62,289,38,57,学硕, 346.13 , 347.25 , 337.00 , 346.50 ,,,,
020100,020100理论经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕, 365.67 , 378.89 , 352.99 , 354.83 ,,,,
020101,020101政治经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕, 373.58 , 385.77 , 343.50 ,,,,,
020102,020102经济思想史,经济学,02,0201,01,348,49,74,338,46,69,学硕, 369.57 , 398.56 , 338.00 ,,,,,
020103,020103经济史,经济学,02,0201,01,348,49,74,338,46,69,学硕, 364.87 , 375.53 , 354.00 ,,,,,
020104,020104西方经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕, 368.24 , 384.69 , 349.00 , 348.00 ,,,,
020105,020105世界经济,经济学,02,0201,01,348,49,74,338,46,69,学硕, 377.46 , 381.91 , 341.64 , 357.00 ,,,,
020106,020106人口、资源与环境经济学,经济学,02,0201,01,348,49,74,338,46,69,学硕, 355.67 , 390.84 , 345.40 , 347.00 ,,,,
